author,text,bert_label_norm,bert_score,episode_title,keywords
@user1,"Loved this episode, super insightful",positive,0.98,Episode 1 – AI & Creativity,"ai,creativity,insightful"
@user2,This conversation changed my perspective,positive,0.97,Episode 1 – AI & Creativity,"conversation,perspective"
@user3,Not sure I agree with the guest here,negative,0.88,Episode 1 – AI & Creativity,"guest,disagreement"
@user4,Pretty neutral discussion overall,neutral,0.55,Episode 1 – AI & Creativity,"discussion,neutral"
@user5,This episode felt rushed,negative,0.92,Episode 2 – Future of Work,"rushed,pace"
@user6,"Great questions, but weak answers",negative,0.89,Episode 2 – Future of Work,"questions,answers"
@user7,"Solid episode, learned a lot",positive,0.94,Episode 2 – Future of Work,"learning,career"
@user8,"It was okay, nothing special",neutral,0.6,Episode 2 – Future of Work,"average,okay"
@user9,Absolutely loved this guest,positive,0.99,Episode 3 – Mental Health,"guest,mental health"
@user10,One of the best episodes so far,positive,0.98,Episode 3 – Mental Health,"best,episode"
@user11,Very emotional and honest,positive,0.96,Episode 3 – Mental Health,"emotional,honest"
@user12,Hard topic but handled well,neutral,0.63,Episode 3 – Mental Health,"difficult,topic"
@user13,This episode helped me personally,positive,0.97,Episode 3 – Mental Health,"helpful,personal"
@user14,Some parts were triggering,negative,0.91,Episode 3 – Mental Health,"triggering,content"
@user15,"Important conversation, glad it exists",positive,0.95,Episode 3 – Mental Health,"important,conversation"
@user16,Too technical for casual listeners,negative,0.9,Episode 4 – Tech & Society,"technical,complex"
@user17,Loved the deep dive into ethics,positive,0.96,Episode 4 – Tech & Society,"ethics,technology"
@user18,Interesting but dense,neutral,0.58,Episode 4 – Tech & Society,"dense,interesting"
@user19,This guest explained things clearly,positive,0.94,Episode 4 – Tech & Society,"guest,clarity"
